,Brands,Styles,Prices,Reduced_Prices,Available_in_Multiple_Colors
387,Nike,Jordan Access,499 ,499 SAR,0
388,Skechers,Elite Flex,165 ,165 SAR,1
390,Reebok,Flexagon Energy TR,255 ,255 SAR,1
393,Robert Wood,Faux Leather Formal Lace Ups,139 ,139 SAR,1
395,Nike,Kyrie Flytrap II,499 ,499 SAR,0
396,Robert Wood,Faux Leather Formal Lace Ups,129 ,129 SAR,0
397,Call It Spring,Cinereus Slides,169 ,169 SAR,1
400,Nike,Acalme,399 ,399 SAR,0
401,Nike,Ebernon Low,369 ,369 SAR,0
403,Seventy Five,Brushed Chunky Sneakers,159 ,159 SAR,1
404,adidas,Nemeziz 19.4 FG,275 ,275 SAR,0
407,Robert Wood,Faux Leather Moccasins,119 ,119 SAR,1
409,Robert Wood,Leather Classic Moccasins,239 ,239 SAR,0
410,Nike,Air Max Sequent 4.5,569 ,569 SAR,0
411,Skechers,Meridian,295 ,295 SAR,0
415,Seventy Five,Knitted Sneakers,119 ,119 SAR,0
416,Seventy Five,Knitted Sock Sneakers,139 ,139 SAR,1
417,Skechers,Go Walk Revolution Ultra,295 ,295 SAR,0
418,Skechers,Flex Advantage 1.0,175 ,175 SAR,0
420,Skechers,Harper,250 ,250 SAR,0
422,Call It Spring,Groeneweg Flip Flops,89 ,89 SAR,0
423,Jack & Jones,Bane Sneakers,185 ,185 SAR,0
427,Seventy Five,Chunky Sneakers,149 ,149 SAR,0
428,adidas,Predator 19.3 FG,399 ,399 SAR,0
429,adidas,Nemeziz 19.3 FG,399 ,399 SAR,0
431,adidas Originals,Tyshawn,425 ,425 SAR,0
432,Skechers,Go Walk Evolution Ultra,275 ,275 SAR,0
434,Robert Wood,Faux Suede Moccasins,119 ,119 SAR,1
436,adidas,X 19.4 TF,275 ,275 SAR,0
438,Seventy Five,Skull Studded Sneakers,139 ,139 SAR,0
439,adidas Originals,Yung-96 Chasm,475 ,475 SAR,0
440,Seventy Five,Chunky Sneakers,139 ,139 SAR,0
441,adidas,Galaxy 4,275 ,275 SAR,1
442,Converse,One Star,279 ,279 SAR,1
444,Puma,RS 9.8 SPACE,410 ,410 SAR,0
445,Vans,Classic Comfycush Era,289 ,289 SAR,0
447,Skechers,Go Run Fast,245 ,245 SAR,0
448,Skechers,Reggae-Cobano,205 ,205 SAR,0
450,adidas Originals,Sobakov P94,425 ,425 SAR,0
452,Skechers,Go Walk Max,260 ,260 SAR,1
453,Skechers,Creston,265 ,265 SAR,0
454,Skechers,Caswell - Resten,310 ,310 SAR,0
455,Seventy Five,Socks Sneakers,119 ,119 SAR,0
456,Tommy Jeans,Retro Sneakers,545 ,545 SAR,0
458,Skechers,Quillin,260 ,260 SAR,0
459,Nike,Zoom Gravity,469 ,469 SAR,0
460,Skechers,Mantra Ultra,265 ,265 SAR,1
461,Seventy Five,Chunky Color Block Sneakers,119 ,119 SAR,0
462,Nike,React Element 55,699 ,699 SAR,0
463,adidas,Solar Boost 19,749 ,749 SAR,0
464,Robert Wood,Classic Moccasins,119 ,119 SAR,1
465,Skechers,Go Walk Evolution Ultra,260 ,260 SAR,0
467,Nike,Air Max Alpha Trainer 2,399 ,399 SAR,0
468,adidas,X 19.3 TF,399 ,399 SAR,0
469,Skechers,Mantra Ultra,265 ,265 SAR,0
470,Skechers,Moc Toe Slip On,260 ,260 SAR,0
473,Converse,Chuck Taylor All Star,279 ,279 SAR,1
475,Skechers,Vesto-Galego,180 ,180 SAR,0
476,adidas,Harden B/E 3,499 ,499 SAR,0
477,Skechers,Lace-Up Jogger W/QTR Detail,255 ,255 SAR,0
478,Nike,Superfly 6 Club CR7 TF,399 ,399 SAR,0
479,Robert Wood,Tassel Loafers,119 ,119 SAR,1
480,Skechers,On-The-Go Glide - Surpass,250 ,250 SAR,1
481,Robert Wood,Driver Moccasins,119 ,119 SAR,1
482,Robert Wood,Classic Moccasins,119 ,119 SAR,0
484,adidas,Ultraboost 19,899 ,899 SAR,1
485,Nike,Zoom Fly 3,799 ,799 SAR,0
486,Seventy Five,Chunky Sneakers,179 ,179 SAR,1
489,Skechers,Go Walk Max,230 ,230 SAR,1
490,adidas Originals,Nizza,325 ,325 SAR,1
491,Skechers,Go Walk Max,260 ,260 SAR,0
492,Onitsuka Tiger,Contemporized Runner,488 ,488 SAR,0
493,adidas,Edge Flex,375 ,375 SAR,0
494,Call It Spring,Obtectus Lace Ups,279 ,279 SAR,1
495,Le Confort,Cross Strap Sandals,329 ,329 SAR,0
497,Skechers,Overhaul - Debbir,245 ,245 SAR,0
498,Skechers,Harsen,260 ,260 SAR,0
499,Chaco ,Z1 Classics,385 ,385 SAR,0
501,Nike,Air Zoom Pegasus 36,599 ,599 SAR,0
503,adidas,X 19.3 FG,399 ,399 SAR,0
504,adidas,Sensebounce +,475 ,475 SAR,0
505,Chaco ,ZCloud,415 ,415 SAR,0
506,adidas,Adilette Comfort Slides,189 ,189 SAR,1
507,adidas,Copa 19.4 IN,239 ,239 SAR,0
508,Reebok,Aztrek 96,445 ,445 SAR,0
514,Robert Wood,Casual Slip Ons,119 ,119 SAR,1
515,Seventy Five,Snake Print Slip Ons,119 ,119 SAR,0
516,Robert Wood,Classic Loafers,139 ,139 SAR,1
517,Skechers,Elent-Vensen,275 ,275 SAR,0
518,Nike,Jordan React Assassin,649 ,649 SAR,0
519,Nike,Lebron XVI Low CP,799 ,799 SAR,0
520,adidas,Predator 19.4 FG,275 ,275 SAR,0
521,Skechers,Dyna-Lite,235 ,235 SAR,0
522,Aldo,Keliniel Slip Ons,329 ,329 SAR,0
523,Robert Wood,Horsetbit Moccasins,119 ,119 SAR,1
524,Nike,Free RN 5.0,549 ,549 SAR,1
525,Under Armour,Forge 96 CLRSHFT,599 ,599 SAR,0
527,Nike,Air Max Axis,599 ,599 SAR,0
530,adidas Originals,NMD_R1,649 ,649 SAR,0
531,Nike,Legend React 2,499 ,499 SAR,0
535,Nike,MD Runner 2 ES1,399 ,399 SAR,0
536,adidas,SenseBoost Go,549 ,549 SAR,0
537,adidas,Nemeziz Messi 19.3 FG,425 ,425 SAR,1
538,adidas,Ultraboost,749 ,749 SAR,0
539,Robert Wood,Formal Slip Ons,119 ,119 SAR,1
540,Skechers,Go Walk Max,225 ,225 SAR,1
542,Aldo,Araysen Slides,179 ,179 SAR,1
543,Skechers,Downtown Ultra,275 ,275 SAR,0
544,Skechers,Open Back Knitted Slip On,275 ,275 SAR,0
545,Nike,Benassi JDI Print Slides,149 ,149 SAR,1
548,Puma,Hybrid Sky,450 ,450 SAR,0
553,Nike,Air Force Max Low,729 ,729 SAR,0
555,Seventy Five,Stripe Detail Sneakers,119 ,119 SAR,0
557,Robert Wood,Leather Classic Slip Owns,239 ,239 SAR,1
558,Robert Wood,Saddle Detail Moccasins,119 ,119 SAR,1
559,Reebok,Sole Fury Adapt,445 ,445 SAR,0
560,Nike,Kyrie 5,649 ,649 SAR,0
561,Chaco ,ZCloud,385 ,385 SAR,0
563,Nike,Phantom Venom Club FG,299 ,299 SAR,0
564,Seventy Five,Webbing Casual Slip Ons,119 ,119 SAR,0
565,Birkenstock,Arizona Double Strap Sandals,229 ,229 SAR,1
572,Vans,Classic Comfycush Old Skool,309 ,309 SAR,0
573,Nike,F.C.,589 ,589 SAR,0
574,Skechers,Elite Flex,165 ,165 SAR,0
576,Chaco ,ZCloud 2,385 ,385 SAR,0
578,Skechers,Caswell - Lander,310 ,310 SAR,0
582,Puma,Speed Orbiter,650 ,650 SAR,0
583,adidas,Nemeziz 19.3 IN,399 ,399 SAR,0
585,Skechers,Go Walk Revolution Ultra,315 ,315 SAR,0
587,Skechers,Velmen-Erever,185 ,185 SAR,0
589,Puma,Palace Guard,470 ,470 SAR,0
590,Aldo,Legeriwen Sneakers,329 ,329 SAR,0
591,Skechers,Equalizer 2.0 Lodini,290 ,290 SAR,1
593,Seventy Five,Mule Slip Ons,99 ,99 SAR,0
595,Puma,Palace Guard 4th of July,495 ,495 SAR,0
597,Skechers,Relsen,265 ,265 SAR,0
600,Burton,Stanley Espadrilles,119 ,119 SAR,0
601,Converse,Chuck Taylor All Star,259 ,259 SAR,0
602,adidas,Rockadia Trail,299 ,299 SAR,0
603,adidas,Predator 19.3 IN,399 ,399 SAR,0
604,Converse,Chuck Taylor All Star,369 ,369 SAR,1
605,Converse,Chuck Taylor All Star,259 ,259 SAR,1
607,adidas,Adissage Slides,115 ,115 SAR,0
608,GANT,Bari Sneakers,399 ,399 SAR,0
610,Nike,Metcon 5,649 ,649 SAR,0
611,Vans,Sk8 Hi,299 ,299 SAR,0
615,Robert Wood,Moccasin Stitch Formal Slip Ons,139 ,139 SAR,1
616,Robert Wood,Perforated Formal Slip Ons,119 ,119 SAR,0
619,Burton,Casual Sneakers,129 ,129 SAR,0
623,adidas,Alphabounce+ U,475 ,475 SAR,0
624,adidas,Copa 19.3 FG,349 ,349 SAR,0
625,Puma,RS-X Hard Drive,495 ,495 SAR,0
626,GANT,Denver Sneakers,379 ,379 SAR,0
627,adidas Originals,Nite Jogger,649 ,649 SAR,0
628,adidas,Adilette Aqua Slides,99 ,99 SAR,0
629,Robert Wood,Brogue Monk Slip Ons,139 ,139 SAR,1
634,adidas Originals,A.R. Trainer,475 ,475 SAR,0
635,Robert Wood,Snake Print Slip Ons,139 ,139 SAR,1
636,Converse,Converse Star Replay,199 ,199 SAR,0
637,Skechers,Marauder,260 ,260 SAR,1
638,adidas,X 19.4 IN,275 ,275 SAR,0
639,GANT,Hero Sneakers,349 ,349 SAR,0
640,Nike,T-Lite XI,269 ,269 SAR,1
643,Nike,Quest 2,399 ,399 SAR,0
644,Skechers,Go Walk Max,245 ,245 SAR,1
645,Reebok,Sole Fury TS,500 ,500 SAR,0
646,Skechers,Go Walk Max,240 ,240 SAR,0
647,Robert Wood,Formal Textured Apron Slip Ons,139 ,139 SAR,1
650,Robert Wood,Two Strap Sandals,69 ,69 SAR,1
656,Burton,Classic Sneakers,129 ,129 SAR,0
658,adidas,Alphabounce Trainer,475 ,475 SAR,0
660,Skechers,After Burn Memory Fit- Geardo,290 ,290 SAR,0
661,Nike,Varsity Compete TR 2,399 ,399 SAR,0
664,Skechers,After Burn M.Fit- Geardo,290 ,290 SAR,0
665,Skechers,Hawaii Sandals,130 ,130 SAR,0
666,Skechers,Superior 2.0,365 ,365 SAR,1
669,Aldo,Boewien Boots,569 ,569 SAR,1
670,Reebok,Reago Essential,290 ,290 SAR,0
672,Converse,Chuck Taylor All Star 70s,329 ,329 SAR,0
673,adidas Originals,3ST.004,549 ,549 SAR,0
674,Robert Wood,Classic Formal Slip Ons,139 ,139 SAR,1
675,Nike,Jumpman Diamond Mid,599 ,599 SAR,0
679,Burton,Formal Lace ups,189 ,189 SAR,0
683,Tommy Hilfiger,Classic Penny Loafers,589 ,589 SAR,1
684,Reebok,Energy Lux,290 ,290 SAR,0
687,Seventy Five,Toggle Lace Knitted Sneakers,139 ,139 SAR,0
688,Aldo,Lovericia Sneakers,329 ,329 SAR,1
689,Under Armour,Charged Escape 3,399 ,399 SAR,0
690,Nike,Zoom Domination TR 2,469 ,469 SAR,0
691,Diesel,Side Zipped Sneakers,875 ,875 SAR,1
692,Robert Wood,Croc Embossed Classic Slip Ons,119 ,119 SAR,0
693,Skechers,Drafter,215 ,215 SAR,0
697,Skechers,Mule Slip Ons,215 ,215 SAR,0
698,Call It Spring,Fresien Lace Ups,319 ,319 SAR,0
700,Skechers,Kulow,230 ,230 SAR,0
702,Jack & Jones,Cali Sneakers,165 ,165 SAR,0
705,adidas,Copa 19.4 FG,239 ,239 SAR,0
706,GANT,Frank Sneakers,249 ,249 SAR,0
707,Robert Wood,Perforated Tassel Loafers,119 ,119 SAR,0
708,Under Armour,TriBase Reign,549 ,549 SAR,0
712,Reserved,Essential Flip Flops,79 ,79 SAR,0
714,adidas Originals,Adi-Ease,299 ,299 SAR,0
715,Diesel,Camouflage Sneakers,725 ,725 SAR,0
720,Diesel,Plimsole Sneakers,765 ,765 SAR,0
721,Robert Wood,Formal Patent Slip Ons,119 ,119 SAR,0
724,adidas,Copa 19.3 TF,349 ,349 SAR,0
729,adidas,Asweego,375 ,375 SAR,0
730,Puma,Rapido FG,190 ,190 SAR,0
731,Skechers,Terraza,235 ,235 SAR,0
732,Puma,BMW Future Kart Cat,450 ,450 SAR,0
733,adidas,Ultraboost OG,749 ,749 SAR,0
735,Diesel,Clever Sneakers,825 ,825 SAR,0
738,Tommy Hilfiger,Corporate Flag Runners,465 ,465 SAR,0
740,adidas Originals,Coast Star,375 ,375 SAR,1
741,Nike,KD XII,769 ,769 SAR,0
742,GANT,Bari Slip Ons,379 ,379 SAR,0
743,adidas Originals,Rivalry Low,425 ,425 SAR,0
745,Reebok,Instalite Lux,310 ,310 SAR,1
749,Tommy Hilfiger,Essential Leather Detail Cupsole Sneakers,459 ,459 SAR,0
750,Aldo,Cowien Sneakers,349 ,349 SAR,1
751,Aldo,Kedireviel Lace Ups,519 ,519 SAR,0
754,Diesel,Laced Socks Sneakers,659 ,659 SAR,1
755,Diesel,Color Block Sneakers,725 ,725 SAR,1
757,Robert Wood,Casual Loafers,119 ,119 SAR,1
759,Puma,Speed Sutamina,430 ,430 SAR,0
761,Skechers,Equalizer 3.0,250 ,250 SAR,0
763,Robert Wood,Perforated Moccasins,139 ,139 SAR,1
764,adidas,Predator 19.4 FXG,275 ,275 SAR,0
766,Reef,Cushion Bounce,169 ,169 SAR,0
768,Under Armour,SC 3Zero III,559 ,559 SAR,0
770,Seventy Five,Lifestyle Sneakers,149 ,149 SAR,0
771,Reef,One Slides,129 ,129 SAR,0
772,Seventy Five,High Top Padded Sneakers,139 ,139 SAR,1
773,adidas Originals,Supercourt,425 ,425 SAR,0
775,Jack & Jones,Austin Denim Sneakers,185 ,185 SAR,0
776,Reebok,Workout Plus ATI 3.0,480 ,480 SAR,0
777,Puma,Epic Flip V2,85 ,85 SAR,0
779,Asics,Gelsaga,550 ,550 SAR,0
781,adidas,Alphabounce Slide,210 ,210 SAR,0
785,Reef,Phantoms,169 ,169 SAR,0
786,Ecco,Reciprico Slip ons,799 ,799 SAR,0
788,Jack & Jones,Byson Mesh Sneakers,185 ,185 SAR,0
789,Fila, Luminance,475 ,475 SAR,1
790,Skechers,GO Run Mojo,275 ,275 SAR,0
